ID,问题,答案
gysxdmx_00001,2024/8/19 下午A架的第一次开机时间（请以XX:XX输出）？,"13:3"
gysxdmx_00002,2024/8/20 A架的最后一次关机时间（请以XX:XX输出）？,"18:36"
gysxdmx_00003,2024/8/23 10:17什么设备在进行什么动作？,A架正在进行【缆绳解除】
gysxdmx_00004,2024/8/20深海作业A作业开始的时间（请以XX:XX输出）？,"08:51"
gysxdmx_00005,2024/8/23 18:26什么设备在进行什么动作？,折臂吊车正在进行【小艇检查完毕】
gysxdmx_00006,2024/8/23 19:05什么设备在进行什么动作？,A架正在进行【征服者落座】和折臂吊车正在进行【折臂吊车关机】
gysxdmx_00007,2024/8/23 A架开机的时间点（请以XX:XX输出）？,08:03和17:58
gysxdmx_00008,2024/8/24 征服者入水时间点（请以XX:XX输出）？,"08:51"
gysxdmx_00009,2024/8/24 揽绳解除的时间点（请以XX:XX输出）？,"08:52"
gysxdmx_00010,2024/8/24 A架摆回的时间点（请以XX:XX输出）？,"08:58"
gysxdmx_00011,2024/8/24 A架摆出的时间点（请以XX:XX输出）？,"16:25"
gysxdmx_00012,2024/8/24 8:45 ~ 8:55之间，发生了哪些关键动作？,A架进行了【征服者起吊】【征服者入水】【缆绳解除】
gysxdmx_00013,2024/8/24 16:00 ~ 16:30之间，发生了哪些关键动作？,A架进行了【A架开机】和【A架摆出】和折臂吊车进行了【折臂吊车开机】
gysxdmx_00014,2024/8/24 9:10什么设备在进行什么动作？,没有设备在进行关键动作
gysxdmx_00015,以征服者落座为标志，2024/8/23 的深海作业A作业结束的时间（请以XX:XX输出）？,"19:05"
gysxdmx_00016,2024/8/24 18:00以后A架的第一次开启时间？A：19:00；B：20:00；C：无,无
gysxdmx_00017,2024/8/24 16:00 ~ 16:30之间，A架发生了哪些关键动作？,【A架开机】和【A架摆出】
gysxdmx_00018,2024/8/24 16:00 ~ 16:30之间，在A架开机之后，什么设备进行了什么关键动作？,【A架摆出】和【折臂吊车开机】
gysxdmx_00019,2024/8/24 下午，A架开机发生在折臂吊车开机之前，是否正确？,【A架开机】发生在【折臂吊车开机】之前是正确的
gysxdmx_00020,2024/8/24 有什么关键动作是同时发生的？,08:58 【A架摆回】和【小艇落座】和17:20 【征服者出水】和【OFF DP】
gysxdmx_00021,统计2024/8/23上午A架的运行时长（以整数分钟输出）,147分钟
gysxdmx_00022,2024/8/23/上午A架的运行时长和下午A架开机时长相比，哪个长，长多少（以整数分钟输出）？,67分钟
gysxdmx_00023,2024/8/24A架摆回和摆出的时间相隔多久（以整数分钟输出）？,447分钟
gysxdmx_00024,2024/8/23 ~ 2024/8/25 早上A架在9点前开机的有几天？,3天
gysxdmx_00025,2024/8/23 ~ 2024/8/25 哪一天上午A架的运行时长最长，运行了多久（以整数分钟输出）？,147分钟
gysxdmx_00026,2024/8/23 和 2024/8/24 上午A架运行的平均时间多少（四舍五入至整数分钟输出）,111分钟（6630.0秒）
gysxdmx_00027,2024/8/23 和 2024/8/24 征服者从起吊到入水平均需要多久（以分钟输出，保留一位小数）？,3.5分钟
gysxdmx_00028,2024/8/23 DP过程中，侧推的总能耗是多少（单位化成kWh，保留2位小数）？,169.17kWh
gysxdmx_00029,2024/8/23 上午折臂吊车的总能耗是多少（单位化成kWh，保留2位小数）？,13.51kWh
gysxdmx_00030,2024/8/23 和 2024/8/24 的DP过程中，侧推的平均能耗是多少（单位化成kWh，保留2位小数）？,147.37kWh
gysxdmx_00031,2024/8/24 DP过程中，推进系统的总能耗是多少（单位化成kWh，保留2位小数）？,282.06kWh
gysxdmx_00032,2024/8/24 上午，甲板机械设备的总能耗是多少（单位化成kWh，保留2位小数）？,45.36kWh
gysxdmx_00033,2024/8/24 上午，折臂吊车的能耗占甲板机械设备的比例（以%输出，保留2位小数）？,23.14%
gysxdmx_00034,2024/8/23 0:00 ~ 2024/8/25 0:00四个发电机中哪个的能耗最大，能耗为多少（单位化成kWh，保留2位小数）？,19192.54kWh
gysxdmx_00035,2024/8/23和2024/8/25小艇入水到小艇落座，折臂吊车的总能耗是多少（单位化成kWh，保留2位小数）？,8.21kWh
gysxdmx_00036,2024/8/23 A架和折臂吊车的运行时间分别是多少（以整数分钟输出）？,354分钟
gysxdmx_00037,2024/8/23 A架比折臂吊车的运行时间少多少（以整数分钟输出）？,127分钟
gysxdmx_00038,2024/8/23 A架的摆动次数是多少次（任意摆出或摆回算一次）？,2次
gysxdmx_00039,2024/8/23、 2024/8/24和2024/8/25 A架的平均摆动次数是多少次？,1.7次
gysxdmx_00040,2024/8/23和2024/8/25 平均作业时长是多久（四舍五入至整数分钟输出，下放阶段以ON DP和OFF DP为标志，回收阶段以A架开机和关机为标志）？,206分钟
gysxdmx_00041,2024/8/23 上午A架的运行时间相对较长，猜测可能是什么原因导致,
gysxdmx_00042,数据中有部分时间A架的角度数据出现了异常，请指出开始时间和结束时间（精确到天）,
gysxdmx_00043,一号柴油发电机组滑油压力的范围是多少？,上限800.0kPa和下限未设定
gysxdmx_00044,某个时刻一号柴油发电机组滑油压力大约为300kPa，这个数值是正常的吗？,正常
gysxdmx_00045,某个时刻一号柴油发电机组滑油压力大约为200kPa，会触发什么机制,报警机制
gysxdmx_00046,某个时刻一号柴油发电机组滑油压力大约为170kPa，会触发什么机制,安全保护机制Alarm state
gysxdmx_00047,某个时刻一号柴油发电机组滑油压力大为170kPa会导致柴油发电机停机吗？,会导致
gysxdmx_00048,2024/8/23 0:00 ~ 2024/8/25 0:00发电机组的燃油消耗量为多少（单位化成L，保留2位小数）？,16806.88L，16806.87611111111L
